measured in ug/mg,SampID,Dry_Weight,Species,Site,Sex,SL.mm,Tissue,Date_harvested,Time_harvested,Al,As,B ,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,K ,Li,Mg,Mn,Mo,Na,Ni,P ,Pb,S ,Se,Si,Sr,Tl,V ,Zn,z-Al,z-As,z-B,z-Ba,z-Be,z-Bi,z-Ca,z-Cd,z-Co,z-Cr,z-Cu,z-Fe,z-K,z-Li,z-Mg,z-Mn,z-Mo,z-Na,z-Ni,z-P,z-Pb,z-S,z-Se,z-Si,z-Sr,z-Tl,z-V,z-Zn
6,I6,247.8,Fundulus_notatus,TC,F,46,WS,5/13/18,15:30,0.009097606,0.001522755,0.000622926,0.000954389,1.41E-06,8.42E-05,36.01546569,0.000348675,7.60E-05,0.000747521,0.001704003,0.386830386,13.93238016,0.003225573,1.508401178,0.014942768,0.000342231,#VALUE!,0.000127415,29.94096705,0.000740743,9.939849991,0.001455581,0.014267497,0.015098007,0.004551124,0.000182567,0.252917947,-0.309291851,-0.192431649,-0.377534154,-0.422720742,-0.389868047,-0.40670632,0.752753999,-0.309472868,-0.404301476,-0.364861675,-0.328861663,-0.050453164,#VALUE!,#VALUE!,#VALUE!,-0.479472057,-0.378501453,#VALUE!,-0.411748301,0.339976508,-0.395194951,0.031430252,-0.394283378,-0.144499781,-0.266057892,-0.398189868,-0.399101986,0.543746448
7,I7,129,Fundulus_notatus,TC,M,36,WS,5/13/18,15:30,0.012137296,0.001234664,0.00067755,0.00155622,2.70E-06,0.000161755,30.74457878,0.000399617,6.77E-05,0.000870109,0.001476977,0.390097086,14.73915443,0.002395165,1.481950585,0.012584638,0.000212993,3.34318375,0.000212964,24.16829927,0.000404841,9.123048907,0.001365334,0.004808634,0.011071641,0.003680923,0.000263267,0.237576211,-0.261675565,-0.200053665,-0.372947724,-0.419866085,-0.38832366,-0.405055643,0.474533337,-0.290356824,-0.405194657,-0.344699175,-0.335115773,-0.046790559,#VALUE!,#VALUE!,#VALUE!,-0.54579772,-0.397729946,#VALUE!,-0.404515793,-0.307365024,-0.403260081,-0.261881817,-0.395674405,-0.153482972,-0.464769519,-0.401022107,-0.392654314,0.431535832
11,I11,207.2,Fundulus_notatus,TC,M,44,WS,5/13/18,15:30,0.003907094,0.001076654,0.000288524,0.00077244,1.68E-06,0.000152634,28.54349986,0.000162694,3.26E-05,0.000458488,0.001409867,0.064713702,12.0086241,0.002435905,1.178821625,0.009017565,0.000278795,#VALUE!,8.33E-05,22.66399272,0.00012036,7.870227265,0.000813524,5.90E-05,0.011754853,0.001087777,0.000167348,0.178459464,-0.390600439,-0.204234132,-0.405611761,-0.423583778,-0.389544803,-0.405249774,0.358350683,-0.37926245,-0.408971845,-0.412399998,-0.336964519,-0.411608512,#VALUE!,#VALUE!,#VALUE!,-0.646126575,-0.387939688,#VALUE!,-0.415477885,-0.476056545,-0.410090575,-0.711768228,-0.404179761,-0.157993754,-0.431051231,-0.409462008,-0.400317936,-0.000848525
89,I89,0.749,Gambusia_affinis,CC,F,38,Brain,5/14/18,12:45,0.035549128,0.006247744,0.007104567,0.126959252,0.000465047,0.027858973,6.489324171,0.001176339,0.005517658,0.003493017,0.008753297,0.070886251,13.36216246,0.000558278,0.84657939,0.011475159,0.003986309,6.097917897,0.007049199,21.09994104,0.024733142,9.383633855,0.038675179,0.016323245,0.007273798,0.182467602,0.007430343,0.03967865,0.105067257,-0.067422733,0.166687991,0.17495634,0.165197983,0.184450991,-0.805765993,0.00110899,0.181287254,0.086700171,-0.13466778,-0.404687886,#VALUE!,#VALUE!,#VALUE!,-0.577003349,0.163677538,#VALUE!,0.173435181,-0.651447829,0.180871378,-0.168306145,0.179403092,-0.142547413,-0.652202942,0.180874077,0.179972156,-1.015901889
95,I95,3.23,Gambusia_affinis,CC,F,43,Brain,5/14/18,12:45,0.008243436,0.00144878,0.001670247,0.038844952,0.000107839,0.006460177,180.9082757,0.000272779,0.001279482,0.000893739,0.003043638,0.016609858,7.183850526,0.012827732,0.26545502,0.004980309,0.000924379,4.49650233,0.001634629,6.857993125,0.005735332,5.818038978,0.008968331,0.003785174,0.206454406,0.042312147,0.001723011,0.027942728,-0.322672295,-0.194388804,-0.289597275,-0.242994971,-0.262451291,-0.271000246,8.400835646,-0.337952928,-0.274792144,-0.340812662,-0.291957411,-0.465542261,#VALUE!,#VALUE!,#VALUE!,-0.759679975,-0.291887386,#VALUE!,-0.284324976,-2.248526466,-0.275273031,-1.448706027,-0.278485163,-0.154454964,9.177877747,-0.27528924,-0.276025433,-1.101739309
100,I100,1.164,Gambusia_affinis,CC,F,42,Brain,5/14/18,12:45,0.022874825,0.004020241,0.004571581,0.080873427,0.000299244,0.017926435,0.59393504,0.00075694,0.003550452,0.002189881,0.005632491,0.022246635,7.471631704,0.000359236,0.417045789,0.004757117,0.002565073,3.528942373,0.004535954,10.86552748,0.015915055,5.589893916,0.024886348,0.010503532,0.001067327,0.117412572,0.004781208,0.021251144,-0.09347379,-0.126355724,-0.045990723,-0.043641901,-0.033301302,-0.026952805,-1.116950636,-0.156270962,-0.03040809,-0.12763141,-0.220639713,-0.45922234,#VALUE!,#VALUE!,#VALUE!,-0.765957558,-0.04777905,#VALUE!,-0.039040311,-1.799125334,-0.030854135,-1.530632584,-0.033131869,-0.148074462,-0.958508417,-0.030860231,-0.031685265,-1.150682061
104,I104,2.346,Gambusia_affinis,CC,F,48,Brain,5/14/18,12:45,0.011349658,0.001994697,0.002268253,0.04020396,0.000148474,0.008894446,0.558021773,0.000375566,0.001761605,0.001086539,0.004677626,0.058373641,11.62815298,0.000365608,0.57906801,0.001980906,0.001272696,5.562003549,0.002250575,15.60341415,0.007896472,8.304270395,0.012347702,0.005211471,0.00061371,0.058255854,0.002372262,0.060775387,-0.274013795,-0.179945491,-0.239386517,-0.236548807,-0.213803086,-0.219189348,-1.118846297,-0.29938199,-0.222909832,-0.309102135,-0.246944325,-0.418716951,#VALUE!,#VALUE!,#VALUE!,-0.844042327,-0.240063534,#VALUE!,-0.232251489,-1.267823182,-0.223383264,-0.555903978,-0.226397028,-0.153100393,-0.980895595,-0.22339733,-0.224152353,-0.86159876
108,I108,1.785,Gambusia_affinis,CC,F,41,Brain,5/14/18,12:45,0.014916693,0.007460571,0.002981132,0.052883098,0.000195137,0.011689843,0.520806803,0.000493601,0.002315253,0.001538656,0.003672952,0.07168062,12.63042268,0.000971657,0.643545701,0.00336369,0.001672686,5.674022352,0.002957899,17.40687858,0.010378221,8.981926786,0.016228409,0.006849362,0.000755471,0.076564837,0.003151142,0.066963316,-0.218136729,-0.035334999,-0.179530604,-0.176408032,-0.157938161,-0.159692215,-1.120810667,-0.255089221,-0.163330559,-0.234740786,-0.274621075,-0.403797244,#VALUE!,#VALUE!,#VALUE!,-0.805149617,-0.180551587,#VALUE!,-0.172452697,-1.065584378,-0.163795557,-0.312558564,-0.166581522,-0.151544869,-0.973899321,-0.163807167,-0.16192233,-0.816339779
112,I112,0.843,Gambusia_affinis,CC,F,38,Brain,5/14/18,12:45,0.031585168,0.00555108,0.006312361,0.113146795,0.000413191,0.024752515,6.505382422,0.001045169,0.004902403,0.00302375,0.007777247,0.151432374,10.99814902,0.000638207,0.809974693,0.015725693,0.003541809,4.864438229,0.006263167,19.09856889,0.021975236,8.232098303,0.034362645,0.014503097,0.008434221,0.162121274,0.006601811,0.080913168,0.042972421,-0.085854355,0.100171495,0.109439909,0.103116,0.118333246,-0.804918367,-0.048112702,0.115078317,0.009518098,-0.161555996,-0.314380042,#VALUE!,#VALUE!,#VALUE!,-0.457451211,0.097543234,#VALUE!,0.106982234,-0.875879818,0.114653041,-0.58182087,0.112931594,-0.144276029,-0.594933051,0.114652976,0.113775097,-0.714309507
134,I134,0.225,Gambusia_affinis,CC,M,26,Brain,5/14/18,12:45,0.118339097,0.0802779,0.023650314,0.418329476,0.001548089,0.092739424,3.45469331,0.003915901,0.01836767,0.011328984,0.029138753,0.019566557,12.22711578,0.002670269,0.734935324,0.00867941,0.013269978,3.940194176,0.023466,20.43143759,0.082333883,10.16783299,0.128745375,0.05433827,0.005893482,0.607414372,0.024734785,0.024101403,1.401959651,1.891191262,1.555929066,1.557008597,1.461815429,1.565364275,-0.965947196,1.029132747,1.564105178,1.375510542,0.426910567,-0.462227227,#VALUE!,#VALUE!,#VALUE!,-0.655637651,1.544935099,#VALUE!,1.561349159,-0.726413176,1.563886367,0.113298612,1.567705371,-0.106444105,-0.720325124,1.56394638,1.562541774,-1.129835051
